,Country,Confirmed,Latitude,Longitude
0,Afghanistan,39145,33.93911,67.709953
1,Albania,12787,41.153332,20.168331
2,Algeria,50400,28.033886,1.659626
3,Andorra,1753,42.546245,1.601554
4,Angola,4363,-11.202692,17.873887
5,Antigua and Barbuda,97,17.060816,-61.796428
6,Argentina,664799,-38.416097,-63.616672
7,Armenia,47877,40.069099,45.038189
8,Australia,26980,-25.274398,133.775136
9,Austria,39984,47.516231,14.550072
10,Azerbaijan,39524,40.143105,47.576927
11,Bahamas,3618,25.03428,-77.39628
12,Bahrain,67014,25.930414,50.637772
13,Bangladesh,353844,23.684994,90.356331
14,Barbados,189,13.193887,-59.543198
15,Belarus,76357,53.709807,27.953389
16,Belgium,106887,50.503887,4.469936
17,Belize,1706,17.189877,-88.49765
18,Benin,2325,9.30769,2.315834
19,Bhutan,261,27.514162,90.433601
20,Bolivia,131990,-16.290154,-63.588653
21,Bosnia and Herzegovina,26081,43.915886,17.679076
22,Botswana,2567,-22.328474,24.684866
23,Brazil,4591364,-14.235004,-51.92528
24,Brunei,145,4.535277,114.727669
25,Bulgaria,19283,42.733883,25.48583
26,Burkina Faso,1929,12.238333,-1.561593
27,Burundi,476,-3.373056,29.918886
28,Cambodia,275,12.565679,104.990963
29,Cameroon,20690,7.369722,12.354722
30,Canada,149939,56.130366,-106.346771
31,Central African Republic,4802,6.611111,20.939444
32,Chad,1164,15.454166,18.732207
33,Chile,449903,-35.675147,-71.542969
34,China,85314,35.86166,104.195397
35,Colombia,784268,4.570868,-74.297333
36,Comoros,470,-11.875001,43.872219
37,Costa Rica,68059,9.748917,-83.753428
38,Croatia,15340,45.1,15.2
39,Cuba,5270,21.521757,-77.781167
40,Cyprus,1654,35.126413,33.429859
41,Czech Republic,55464,49.817492,15.472962
42,Denmark,24822,56.26392,9.501785
43,Djibouti,5407,11.825138,42.590275
44,Dominica,24,15.414999,-61.370976
45,Dominican Republic,109737,18.735693,-70.162651
46,Ecuador,129892,-1.831239,-78.183406
47,Egypt,102375,26.820553,30.802498
48,El Salvador,27954,13.794185,-88.89653
49,Equatorial Guinea,5018,1.650801,10.267895
50,Eritrea,364,15.179384,39.782334
51,Estonia,3033,58.595272,25.013607
52,Ethiopia,71083,9.145,40.489673
53,Fiji,32,-16.578193,179.414413
54,Finland,9288,61.92411,25.748151
55,France,508456,46.227638,2.213749
56,Gabon,8716,-0.803689,11.609444
57,Gambia,3542,13.443182,-15.310139
58,Georgia,4140,42.315407,43.356892
59,Germany,279025,51.165691,10.451526
60,Ghana,46153,7.946527,-1.023194
61,Greece,16286,39.074208,21.824312
62,Grenada,24,12.262776,-61.604171
63,Guatemala,87442,15.783471,-90.230759
64,Guinea,10434,9.945587,-9.696645
65,Guinea-Bissau,2324,11.803749,-15.180413
66,Guyana,2535,4.860416,-58.93018
67,Haiti,8646,18.971187,-72.285215
68,Honduras,72675,15.199999,-86.241905
69,Hong Kong,5049,22.396428,114.109497
70,Hungary,20450,47.162494,19.503304
71,Iceland,2476,64.963051,-19.020835
72,India,5646010,20.593684,78.96288
73,Indonesia,257388,-0.789275,113.921327
74,Iran,432798,32.427908,53.688046
75,Iraq,332635,33.223191,43.679291
76,Ireland,33675,53.41291,-8.24389
77,Israel,204690,31.046051,34.851612
78,Italy,302537,41.87194,12.56738
79,Jamaica,5395,18.109581,-77.297508
80,Japan,80009,36.204824,138.252924
81,Jordan,6042,30.585164,36.238414
82,Kazakhstan,107529,48.019573,66.923684
83,Kenya,37348,-0.023559,37.906193
84,Kosovo,12683,42.602636,20.902977
85,Kuwait,101299,29.31166,47.481766
86,Kyrgyzstan,45630,41.20438,74.766098
87,Laos,23,19.85627,102.495496
88,Latvia,1572,56.879635,24.603189
89,Lebanon,31792,33.854721,35.862285
90,Lesotho,1507,-29.609988,28.233608
91,Liberia,1337,6.428055,-9.429499
92,Libya,30097,26.3351,17.228331
93,Liechtenstein,116,47.166,9.555373
94,Lithuania,3932,55.169438,23.881275
95,Luxembourg,8090,49.815273,6.129583
96,Macau,46,22.198745,113.543873
97,Madagascar,16167,-18.766947,46.869107
98,Malawi,5746,-13.254308,34.301525
99,Malaysia,10505,4.210484,101.975766
100,Maldives,9885,3.202778,73.22068
101,Mali,3034,17.570692,-3.996166
102,Malta,2856,35.937496,14.375416
103,Mauritania,7425,21.00789,-10.940835
104,Mauritius,367,-20.348404,57.552152
105,Mexico,710049,23.634501,-102.552784
106,Moldova,48232,47.411631,28.369885
107,Monaco,199,43.750298,7.412841
108,Mongolia,313,46.862496,103.846656
109,Montenegro,9428,42.708678,19.37439
110,Morocco,107743,31.791702,-7.09262
111,Mozambique,7262,-18.665695,35.529562
112,Namibia,10663,-22.95764,18.49041
113,Nepal,67804,28.394857,84.124008
114,Netherlands,105304,52.132633,5.291266
115,New Zealand,1827,-40.900557,174.885971
116,Nicaragua,5073,12.865416,-85.207229
117,Niger,1193,17.607789,8.081666
118,Nigeria,57724,9.081999,8.675277
119,Norway,13277,60.472024,8.468946
120,Oman,95339,21.512583,55.923255
121,Pakistan,308217,30.375321,69.345116
122,Panama,107990,8.537981,-80.782127
123,Papua New Guinea,527,-6.314993,143.95555
124,Paraguay,35571,-23.442503,-58.443832
125,Peru,776546,-9.189967,-75.015152
126,Philippines,294591,12.879721,121.774017
127,Poland,81673,51.919438,19.145136
128,Portugal,70465,39.399872,-8.224454
129,Qatar,124175,25.354826,51.183884
130,Romania,116415,45.943161,24.96676
131,Russia,1117487,61.52401,105.318756
132,Rwanda,4779,-1.940278,29.873888
133,Saint Kitts and Nevis,19,17.357822,-62.782998
134,Saint Lucia,27,13.909444,-60.978893
135,Saint Vincent and the Grenadines,64,12.984305,-61.287228
136,San Marino,723,43.94236,12.457777
137,Saudi Arabia,331359,23.885942,45.079162
138,Senegal,14795,14.497401,-14.452362
139,Serbia,33080,44.016521,21.005859
140,Seychelles,143,-4.679574,55.491977
141,Sierra Leone,2183,8.460555,-11.779889
142,Singapore,57639,1.352083,103.819836
143,Slovakia,7269,48.669026,19.699024
144,Slovenia,4694,46.151241,14.995463
145,Somalia,3465,5.152149,46.199616
146,South Africa,665188,-30.559482,22.937506
147,South Korea,23341,35.907757,127.766922
148,Spain,693556,40.463667,-3.74922
149,Sri Lanka,3324,7.873054,80.771797
150,Sudan,13578,12.862807,30.217636
151,Suriname,4779,3.919305,-56.027783
152,Sweden,89756,60.128161,18.643501
153,Switzerland,51101,46.818188,8.227512
154,Syria,3924,34.802075,38.996815
155,Taiwan,509,23.69781,120.960515
156,Tajikistan,9475,38.861034,71.276093
157,Tanzania,509,-6.369028,34.888822
158,Thailand,3516,15.870032,100.992541
159,Timor-Leste,27,-8.874217,125.727539
160,Togo,1701,8.619543,0.824782
161,Trinidad and Tobago,4136,10.691803,-61.222503
162,Tunisia,12479,33.886917,9.537499
163,Turkey,308069,38.963745,35.243322
164,Uganda,6879,1.373333,32.290275
165,Ukraine,189488,48.379433,31.16558
166,United Arab Emirates,87530,23.424076,53.847818
167,United States,6933548,37.09024,-95.712891
168,Uruguay,1946,-32.522779,-55.765835
169,Uzbekistan,53275,41.377491,64.585262
170,Venezuela,69439,6.42375,-66.58973
171,Vietnam,1069,14.058324,108.277199
172,Western Sahara,10,24.215527,-12.885834
173,Yemen,2029,15.552727,48.516388
174,Zambia,14443,-13.133897,27.849332
175,Zimbabwe,7725,-19.015438,29.154857
